time_start,time_end,model,launch_place,target,target_main,launched,destroyed,not_reach_goal,still_attacking,border_crossing,is_shahed,num_hit_location,num_fall_fragment_location,carrier,turbojet,turbojet_destroyed,affected region,destroyed_details,launched_details,launch_place_details
2025-03-22 19:00,2025-03-23 8:30,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo and Zaporizhzhia oblast, Prymorsk",Ukraine,,147,97,25,,{},,,,,,,"['Kyiv oblast', 'Sumy oblast', 'Kharkiv oblast', 'Chernihiv oblast', 'Odesa oblast', 'Donetsk oblast']","{'south': 12, 'west': 5, 'north': NaN, 'center': NaN}",,
2025-03-23,2025-03-23,Молнія,,south,,2,2,,,{},,,,,,,,,,
2025-03-23,2025-03-23,Merlin-VR,,south,,1,1,,,{},,,,,,,,,,
2025-03-21 19:30,2025-03-22 8:30,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Millerovo",Ukraine,,179,100,63,,{},,,,,,,"['Kyiv oblast', 'Sumy oblast', 'Kharkiv oblast', 'Zaporizhzhia oblast']","{'south': 3, 'north': NaN, 'center': NaN}",,
2025-03-22,2025-03-22,Reconnaissance UAV,,south,,5,5,,,{},,,,,,,,,,
2025-03-20 20:00,2025-03-21 9:30,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo",Ukraine,,214,114,81,,{},,,,,,,"['Kyiv oblast', 'Sumy oblast', 'Odesa oblast', 'Khmelnytskyi oblast']","{'Odesa oblast': 27, 'west': 6, 'north': NaN, 'center': NaN}",,
2025-03-21,2025-03-21,Молнія,,south,,1,1,,,{},,,,,,,,,,
2025-03-21,2025-03-21,ZALA,,south,,1,1,,,{},,,,,,,,,,
2025-03-21,2025-03-21,Supercam,,south,,1,1,,,{},,,,,,,,,,
2025-03-21,2025-03-21,Orlan-10,,south,,2,2,,,{},,,,,,,,,,
2025-03-21,2025-03-21,Lancet,,south,,3,3,,,{},,,,,,,,,,
2025-03-21,2025-03-21,Iskander-M,Crimea,Odesa oblast,,1,0,,,{},,,,,,,,,,
2025-03-19 19:00,2025-03-20 8:30,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Oryol oblast and Millerovo and Shatalovo",Ukraine,,171,75,63,,{},,,,,,,"['Kirovohrad oblast', 'Sumy oblast', 'Donetsk oblast']","{'Kherson oblast': 1, 'Kyiv oblast': NaN, 'Sumy oblast': NaN, 'Poltava oblast': NaN, 'Kharkiv oblast': NaN,    'Cherkasy oblast': NaN, 'Chernihiv oblast': NaN, 'Kirovohrad oblast': NaN, 'Zhytomyr oblast': NaN, 'Zaporizhzhia oblast': NaN, 'Dnipropetrovsk oblast': NaN, 'Vinnytsia oblast': NaN}",,
2025-03-20,2025-03-20,Молнія,,south,,5,5,,,{},,,,,,,,,,
2025-03-20,2025-03-20,ZALA,,south,,1,1,,,{},,,,,,,,,,
2025-03-20,2025-03-20,Supercam,,south,,3,3,,,{},,,,,,,,,,
2025-03-20,2025-03-20,Orlan-10,,south,,1,1,,,{},,,,,,,,,,
2025-03-20,2025-03-20,Lancet,,south,,6,6,,,{},,,,,,,,,,
2025-03-18 19:00,2025-03-19 8:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Ukraine,,145,72,56,,{},,,,,,,"['Kyiv oblast', 'Sumy oblast', 'Chernihiv oblast', 'Odesa oblast', 'Poltava oblast', 'Dnipropetrovsk oblast']","{'Odesa oblast': 2, 'Kyiv oblast': NaN, 'Sumy oblast': NaN, 'Poltava oblast': NaN, 'Kharkiv oblast': NaN,    'Cherkasy oblast': NaN, 'Chernihiv oblast': NaN, 'Kirovohrad oblast': NaN, 'Zhytomyr oblast': NaN, 'Zaporizhzhia oblast': NaN, 'Dnipropetrovsk oblast': NaN, 'Vinnytsia oblast': NaN}",,
2025-03-18 19:00,2025-03-19 8:00,Iskander-M,,Ukraine,,2,0,,,{},,,,,,,,,,
2025-03-18 19:00,2025-03-19 8:00,C-300,,Ukraine,,4,0,,,{},,,,,,,,,,
2025-03-19,2025-03-19,Молнія,,south,,1,1,,,{},,,,,,,,,,
2025-03-19,2025-03-19,ZALA,,south,,3,3,,,{},,,,,,,,,,
2025-03-19,2025-03-19,Supercam,,south,,3,3,,,{},,,,,,,,,,
2025-03-19,2025-03-19,Lancet,,south,,2,2,,,{},,,,,,,,,,
2025-03-17 19:00,2025-03-18 9:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Millerovo and Shatalovo,Ukraine,,137,63,64,,{},,,,,,,"['Cherkasy oblast', 'Kharkiv oblast', 'Poltava oblast', 'Sumy oblast', 'Dnipropetrovsk oblast']","{'Mykolaiv oblast and Kherson oblast': 2, 'Kyiv oblast': NaN, 'Sumy oblast': NaN, 'Poltava oblast': NaN, 'Kharkiv oblast': NaN,    'Cherkasy oblast': NaN, 'Chernihiv oblast': NaN, 'Kirovohrad oblast': NaN, 'Zaporizhzhia oblast': NaN, 'Dnipropetrovsk oblast': NaN, 'Vinnytsia oblast': NaN}",,
2025-03-16 19:30,2025-03-17 9:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Shatalovo,Ukraine,,174,90,70,,{},,,,,,,"['Chernihiv oblast', 'Kharkiv oblast', 'Odesa oblast', 'Kyiv oblast', 'Sumy oblast', 'Kirovohrad oblast', 'Dnipropetrovsk oblast']","{'Odesa oblast': 1, 'Kyiv oblast': NaN, 'Sumy oblast': NaN, 'Poltava oblast': NaN, 'Kharkiv oblast': NaN,    'Cherkasy oblast': NaN, 'Chernihiv oblast': NaN, 'Kirovohrad oblast': NaN, 'Zaporizhzhia oblast': NaN, 'Dnipropetrovsk oblast': NaN}",,
2025-03-17,2025-03-17,Молнія,,south,,1,1,,,{},,,,,,,,,,
2025-03-15 18:30,2025-03-16 9:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Bryansk oblast and Millerovo and Shatalovo",Ukraine,,90,47,33,,{},,,,,,,"['Chernihiv oblast', 'Kharkiv oblast', 'Odesa oblast', 'Kyiv oblast']","{'Odesa oblast': 15, 'Kyiv oblast': NaN, 'Sumy oblast': NaN, 'Poltava oblast': NaN, 'Kharkiv oblast': NaN,    'Cherkasy oblast': NaN, 'Chernihiv oblast': NaN, 'Zhytomyr oblast': NaN, 'Dnipropetrovsk oblast': NaN, 'Donetsk oblast': NaN}",,
2025-03-16,2025-03-16,Молнія,,south,,1,1,,,{},,,,,,,,,,
2025-03-16,2025-03-16,ZALA,,south,,2,2,,,{},,,,,,,,,,
2025-03-16,2025-03-16,Supercam,,south,,2,2,,,{},,,,,,,,,,
